Date,Symbol,Adj Close,Close,High,Low,Open,Volume,Exchange,Shortname,Longname,Sector,Industry,Currentprice,Marketcap,Ebitda,Revenuegrowth,City,State,Country,Fulltimeemployees,Weight,S&P500
2024-09-13,WM,208.0500030517578,208.0500030517578,208.69000244140625,206.6000061035156,207.3600006103516,1397100.0,NYQ,"Waste Management, Inc.","Waste Management, Inc.",Industrials,Waste Management,208.05,83493584896,6236000256.0,0.055,Houston,TX,United States,48000.0,0.0015991541359156,5626.02
2024-09-13,WAT,325.8599853515625,325.8599853515625,327.9599914550781,322.70001220703125,322.70001220703125,292900.0,NYQ,Waters Corporation,Waters Corporation,Healthcare,Diagnostics & Research,325.86,19343667200,995238016.0,-0.043,Milford,MA,United States,7900.0,0.0003704896064193,5626.02
2024-09-13,WEC,95.8499984741211,95.8499984741211,95.87000274658205,94.73999786376952,95.23999786376952,1841900.0,NYQ,"WEC Energy Group, Inc.","WEC Energy Group, Inc.",Utilities,Utilities - Regulated Electric,95.85,30296172544,3566500096.0,-0.032,Milwaukee,WI,United States,7000.0,0.0005802631386171,5626.02
2024-09-13,WELL,129.75,129.75,129.8699951171875,128.27999877929688,129.0500030517578,2099700.0,NYQ,Welltower Inc.,Welltower Inc.,Real Estate,REIT - Healthcare Facilities,129.75,79036956672,2781885952.0,0.141,Toledo,OH,United States,533.0,0.001513796255241,5626.02
2024-09-13,WST,300.6700134277344,300.6700134277344,301.739990234375,297.82000732421875,298.1000061035156,392800.0,NYQ,"West Pharmaceutical Services, I","West Pharmaceutical Services, Inc.",Healthcare,Medical Instruments & Supplies,300.67,21811083264,756800000.0,-0.069,Exton,PA,United States,10600.0,0.0004177480707514,5626.02
2024-09-13,WY,32.45000076293945,32.45000076293945,32.47999954223633,31.670000076293945,31.700000762939453,4076800.0,NYQ,Weyerhaeuser Company,Weyerhaeuser Company,Real Estate,REIT - Specialty,32.45,23601373184,1494000000.0,-0.029,Seattle,WA,United States,9300.0,0.0004520375258469,5626.02
2024-09-13,WMB,45.02999877929688,45.02999877929688,45.06999969482422,44.63999938964844,44.790000915527344,2685700.0,NYQ,"Williams Companies, Inc. (The)","The Williams Companies, Inc.",Energy,Oil & Gas Midstream,45.03,54888419328,5833999872.0,0.041,Tulsa,OK,United States,5601.0,0.0010512788843786,5626.02
2024-09-13,WYNN,78.45999908447266,78.45999908447266,79.33999633789062,76.55000305175781,76.79000091552734,2235000.0,NMS,"Wynn Resorts, Limited","Wynn Resorts, Limited",Consumer Cyclical,Resorts & Casinos,78.46,8708431872,1940977024.0,0.086,Las Vegas,NV,United States,27800.0,0.0001667927525545,5626.02
2024-09-13,XEL,63.84000015258789,63.84000015258789,63.9900016784668,63.040000915527344,63.810001373291016,2961600.0,NMS,Xcel Energy Inc.,Xcel Energy Inc.,Utilities,Utilities - Regulated Electric,63.84,35590864896,5484000256.0,0.002,Minneapolis,MN,United States,11311.0,0.0006816724766357,5626.02
2024-09-13,XYL,130.8300018310547,130.8300018310547,132.30999755859375,130.63999938964844,131.69000244140625,995300.0,NYQ,Xylem Inc.,Xylem Inc.,Industrials,Specialty Industrial Machinery,130.83,31777689600,1622000000.0,0.26,Washington,DC,United States,23000.0,0.0006086386614849,5626.02
2024-09-13,YUM,133.64999389648438,133.64999389648438,133.9499969482422,132.92999267578125,133.47999572753906,1811500.0,NYQ,"Yum! Brands, Inc.","Yum! Brands, Inc.",Consumer Cyclical,Restaurants,133.65,37577699328,2627000064.0,0.045,Louisville,KY,United States,35000.0,0.0007197263523109,5626.02
2024-09-13,ZBRA,337.4800109863281,337.4800109863281,343.510009765625,337.19000244140625,339.1199951171875,267700.0,NMS,Zebra Technologies Corporation,Zebra Technologies Corporation,Technology,Communication Equipment,337.48,17407354880,654000000.0,0.002,Lincolnshire,IL,United States,9750.0,0.0003334033816655,5626.02
2024-09-13,ZBH,106.26000213623048,106.26000213623048,107.94000244140624,105.1999969482422,105.1999969482422,1460500.0,NYQ,"Zimmer Biomet Holdings, Inc.","Zimmer Biomet Holdings, Inc.",Healthcare,Medical Devices,106.26,21640062976,2520699904.0,0.039,Warsaw,IN,United States,18000.0,0.0004144725160939,5626.02
2024-09-13,ZTS,191.08999633789065,191.08999633789065,192.6199951171875,190.13999938964844,190.57000732421875,1725200.0,NYQ,Zoetis Inc.,Zoetis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,191.09,86573514752,3644999936.0,0.083,Parsippany,NJ,United States,14100.0,0.0016581440879423,5626.02
